,destruction,E141,"Knife,cut: person"
,Didymus,EBB6,"man: two: mind,think,think_opinion: know,knowledge: head: face"
,die,E181,"no,not: heart"
,different,ECFF,"No,not: same,equal"
,difficult,E093,"sad,grieve: work,do"
,dignify,E04B,"Mouth,said,speak,confession: good"
,Diklah,E1AC,"OT: man: tree,plant,wood"
,Dinah,EFB7,"Woman: mouth,said,speak,confession"
,Dinhabah_city,EFED,"King: village: many,much: neighbor: house: near,close"
,Dionysius,EB78,"man: fill: cup,drink"
,Diotrephes,ECE2,"Man: thunder: mouth,said,speak,confession: storm"
,direction,E323,
,dirt,E15B,"land,ground,earth,space"
,dirty,E249,"water,wet: bad: no,not: good"
,disciple,E142,"person: follow: people: forward,to"
,discipline,EDA5,"Whip: message: mouth,said,speak,confession: book,learn,read"
,discourage,E261,"chain,bound,imprisoned,arrest: heart"
,disease,E20A,"sad,grieve: heart"
,dish,E384,
,Dishan,E1EC,"Man: small,few: part,some"
,Dishon,EFEE,"Man: mouth,said,speak,confession: sheep: soft"
,disobedience,E193,"no,not: obey,obedience: mouth,said,speak,confession: work,do"
,disobey,E193,"no,not: obey,obedience: mouth,said,speak,confession: work,do"
,divide,E326,"Backward: forward,to"
,division,E326,"Backward: forward,to"
,divorce,EA3D,"house: divide,split,division,separate"
,do,E08C,
,doctor,E144,"person: heal: hand: happy,joy: face: heart"
,Dodanim,EDCF,"Man: lead,leader: forward,to: person"
,dog,E104,"small,few: animal"
,dominion,E032,"King,lord,ruler,master: power,can,ability: big: knife,cut"
,donkey,EA09,"small,few: horse"
,door,E23E,
,Dorcas,EC2C,Woman: horse
,Dothan,EFA3,"Water,wet: two: village: many,much: neighbor: house: near,close"
,doubt,E194,"no,not: believe,faith: know,knowledge: cross"
,dough,EA36,"soft: mouth,said,speak,confession: grain,wheat"
,dove,E25E,"bird: peace: sleep,rest,lie_down: love,compassion"
,down,E319,
,dragon,ECDF,"Fire,heat,hot: bird"
,dream,EA80,"eye,see: sleep,rest,lie_down"
,drink,E274,
,drum,EBE3,"hand: sound,noise: ear,hear: thing"
,drunk,EA8D,"cup,drink: bad: no,not: good"
,Drusilla,EB9C,"woman: water,wet"
,dry,E188,"no: water,wet"
,Dumah,EEFD,"Man: small,few: mute: mouth,said,speak,confession: no,not"
,dust,E15D,"small,few: part: land,ground,earth,space"
,dwell,E17B,"house: alive,life,live: good: heart"
,eagle,ECC9,Big: bird
,ear,E299,
,earn,E0F5,"money,wealth,wealthy: work,do"
,earth,E153,
,earthquake,E159,"land,ground,earth,space: shake"
,east,EA38,direction
,easy,E092,"happy,joy: face: work,do"
,eat,E053,"mouth,said,speak,confession: thing"
,Ebal,EFEF,"Man: rock: hard: soft: no,not: thing"
,Eber,EC5A,"man: through,pass: thing: forward,to"
,Eden_garden,EDD2,"Grow: up: seed: grain,wheat: small,few: land,ground,earth,space"
,Eden_man,E1E9,"Man: small,few: happy: face"
,Edom_land,E1A7,"OT: man: blood: hand: water,wet: land,ground,earth,space"
,Edom_man,E1A6,"OT: man: blood: hand: water,wet: color"
,Egypt,EA44,"slave: thing: person: land,ground,earth,space"
,Ehi,EFB8,Man: together(people): gathered_people
,eight,E293,
,El,EDD3,"OT: king,lord,ruler,master: man: love,compassion"
